District	count_sum
rajshahi	32.0
dhaka	135.0
chittagong	54.0
khulna	29.0
magura	1.0
gazipur	10.0
barisal	13.0
panchagarh	2.0
meherpur	5.0
madaripur	4.0
bhola	3.0
pabna	12.0
manikganj	7.0
bogra	14.0
jessore	5.0
chandpur	3.0
comilla	8.0
tangail	11.0
moulvibazar	7.0
sirajganj	9.0
gaibandha	7.0
dinajpur	16.0
khagrachhari	10.0
faridpur	4.0
sylhet	6.0
satkhira	7.0
narayanganj	9.0
lalmonirhat	3.0
rangamati	5.0
bandarban	5.0
brahmanbaria	7.0
netrakona	6.0
feni	2.0
natore	3.0
naogaon	9.0
narsingdia	1.0
narsingdi	1.0
sherpur	3.0
bagerhat	9.0
patuakhali	4.0
chapainawabganj	3.0
kushtia	4.0
rangpur	4.0
barguna	1.0
pirojpur	2.0
munshiganj	2.0
jamalpur	3.0
gopalganj	3.0
thakurgaon	6.0
joypurhat	2.0
rajbari	1.0
habiganj	2.0
dhak	1.0
mymensingh	5.0
sunamganj	3.0
dinajpuri	1.0
nilphamari	2.0
dhaka,barisal	1.0
shariatpur	2.0
chapainawabganja	1.0
chuadanga	1.0
jhenaidah	1.0
kishoreganj	1.0
